stock_code,name,close,price_change_rate,rps,ma5,ma10,ma20,ma_strength
002255,海陆重工,7.02,10.9,77,6.76,6.641,6.4475,10.68
688129,东来技术,19.15,10.89,77,19.32,,,
300230,永利股份,5.03,10.79,77,5.104,4.963,4.807,11.51
603727,博迈科,14.19,10.6,76,14.072,13.999,13.536,12.93
002026,山东威达,11.84,10.55,76,11.96,11.566,11.2375,14.2
301105,鸿铭股份,32.99,10.52,76,31.948,31.507,30.7115,8.87
002009,天奇股份,17.8,10.49,76,18.262,17.944,17.318,17.18
600560,金自天正,17.88,10.44,76,19.136,17.981,17.426,17.63
002993,奥海科技,46.1,10.34,76,46.556,44.902,42.6665,13.8
002801,微光股份,33.4,10.3,76,34.608,34.758,33.743,21.68
605001,威奥股份,7.43,10.24,75,7.324,7.167,6.9615,6.82
300195,长荣股份,6.72,10.16,75,6.776,6.931,6.575,11.41
603151,邦基科技,12.15,10.15,75,12.18,11.732,11.4705,10.42
600232,金鹰股份,6.24,10.05,75,6.16,5.963,5.7765,10.24
300967,晓鸣股份,13.36,10.05,75,13.188,12.888,12.614,8.31
002774,快意电梯,8.28,9.81,74,8.284,8.235,8.0285,10.49
300283,温州宏丰,6.29,9.58,74,6.282,6.269,6.1205,7.96
603119,浙江荣泰,35.07,9.56,74,34.844,34.407,34.669,25.65
301131,聚赛龙,39.44,9.56,74,40.152,38.991,38.0245,11.22
301043,绿岛风,30.8,9.53,73,30.362,29.852,29.3395,6.1
002933,新兴装备,36.96,9.51,73,37.516,37.11,36.075,11.1
301298,东利机械,15.7,9.48,73,15.584,15.245,14.882,10.13
002523,天桥起重,3.83,9.43,73,3.94,3.843,3.713,11.29
002614,奥佳华,7.39,9.32,73,7.378,7.224,7.0415,8.27
300549,优德精密,19.34,9.27,73,19.51,19.143,18.828,10.09
002483,润邦股份,6.86,9.24,73,6.752,6.573,6.465,15.04
300651,金陵体育,14.85,9.19,73,14.51,14.148,13.8325,7.31
603500,祥和实业,7.77,9.13,72,7.65,7.51,7.38,3.54
002363,隆基机械,7.79,9.1,72,7.848,7.608,7.3735,12.88
603880,南卫股份,5.53,9.07,72,5.468,5.501,5.4165,11.82
002696,百洋股份,5.64,8.88,72,5.426,5.353,5.286,6.17
301195,北路智控,37.71,8.86,72,37.438,37.687,36.6665,10.53
603161,科华控股,12.23,8.71,72,12.246,11.827,11.578,10.43
000886,海南高速,7.27,8.67,72,7.024,7.047,7.003,3.23
002681,奋达科技,8.8,8.51,71,8.742,8.488,8.675,14.05
600036,招商银行,45.16,8.51,71,43.824,43.239,42.48,8.12
603216,梦天家居,12.39,8.49,71,12.216,12.066,11.8745,6.5
300279,和晶科技,7.3,8.47,71,7.158,7.108,6.9905,8.52
002426,胜利精密,3.75,8.38,71,3.728,3.668,3.585,13.18
001208,华菱线缆,10.88,8.37,71,10.932,10.788,10.5325,12.87
688225,亚信安全,24.87,8.37,71,25.282,,,
001210,金房能源,15.29,8.36,70,15.168,14.869,14.4445,8.17
002927,泰永长征,15.51,8.31,70,15.252,14.936,14.564,8.8
002144,宏达高科,11.34,8.31,70,11.186,11.13,10.793,6.27
002689,远大智能,4.45,8.27,70,4.524,4.454,4.3435,12.29
